objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
TP0001,Boheme-MOA-APR2025.jpg,,,La bohème,Puccini,2025,opera,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C3",49.89949611,-97.137168,Ty's Collection,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,,
TP0002,,,,L’Elisir d’amore,Donizetti,2024,opera,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C4",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0003,,,,Carmen,Bizet,2024,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C5",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0004,,,,Così fan tutte,Mozart,2023,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C6",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0005,,,,La Cenerentola,Rossini,2022,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C7",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0006,,,,Susannah,Floyd,2019,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C8",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0007,Barber-MOA-APR2019.jpg,,,Il barbiere di Siviglia,Rossini,2019,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C9",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0008,DonGiovanni-MOA-Nov2018.jpg,,,Don Giovanni,Mozart,2018,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C10",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0009,Traviata-MOA-APR2018.jpg,,,La traviata,Verdi,2018,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C11",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0010,,,,Madama Butterfly,Puccini,2017,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C12",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0011,,,,Werther,Massenet,2017,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C13",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0012,,,,Falstaff,Verdi,2016,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C14",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0013,,,,Of Mice and Men,Floyd,2016,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C15",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0014,,,,Turandot,Puccini,2015,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C16",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0015,,,,Fidelio,Beethoven,2014,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C17",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0016,,,,Don Pasquale,Donizetti,2013,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C18",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0017,,,,Aida,Verdi,2013,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C19",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0018,,,,Rigoletto,Verdi,2012,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C20",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0019,,,,Salome,R. Strauss,2011,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C21",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0020,,,,Tosca,Puccini,2010,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C22",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0021,,,,Carmen,Bizet,2010,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C23",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
TP0022,,,,Il trovatore,Verdi,2008,,,"Winnipeg Centennial Concert Hall 555 Main Street Winnipeg, Manitoba R3B 1C24",49.89949611,-97.137168,,,Image;StillImage,image/jpeg,,,,
