objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
tp00001,boheme-moa-apr2025.jpg,,,La bohème,Puccini,2025,Bohemian Life,opera in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00002,elixer-moa2024.jpg,,,L’Elisir d’amore,Donizetti,2024,The Elixir of Love,Melodramma giocoso in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00003,carmen-moa2024.jpg,,,Carmen,Bizet,2024,,Opéra comique in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00004,cosimoa.jpg,,,"Così fan tutte ,ossia La scuola degli amanti",Mozart,2023,"All Women do the Same, or The School for Lovers","Opera buffa in two acts, 
K588","Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00005,cenerentola-moa-2022.jpg,,,La Cenerentola ossia La bontà in trionfo,Rossini,2022, Cinderella  or Goodness Triumphant,Dramma giocoso in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00006,sus-moa2019.jpg,,,Susannah,Floyd,2019,"Floyd’s libretto is based on the story of Susanna and the Elders from the biblical Apocrypha, transposed to the remote mountain village of New Hope Valley, Tennessee, in the 1950s.",Musical drama in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00007,barber-moa2019.jpeg,,,Il barbiere di Siviglia  ovvero La precauzione inutile,Rossini,2019,"The Barber of Seville, or The Useless Precaution’", Dramma giocoso in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00008,dongiovanni-moa-nov2018.jpg,,,"Il dissoluto punito, ossia Il Don Giovanni",Mozart,2018,"The Libertine Punished, or Don Giovanni","Opera buffa in two acts, k527","Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00009,traviata-moa-apr2018.jpg,,,La traviata,Verdi,2018,The Fallen Woman, Opera in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00010,butterfly-moa-2017.jpg,,,Madama Butterfly,Puccini,2017,Madame Butterfly,Tragedia giapponese in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00011,werther-moa-2017.jpg,,,Werther,Massenet,2017,based on Johann Wolfgang von Goethe’s novel Die Leiden des jungen Werthers,Drame lyrique in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00012,falstaff-moa2016.jpg,,,Falstaff ,Verdi,2016,after William Shakespeare’s plays The Merry Wives of Windsor and King Henry IV,Commedia lirica in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00013,micemenmoa2016.jpg,,,Of Mice and Men,Floyd,2016,based on the 1937 novella of the same name by John Steinbeck,opera in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00014,turandot-moa-2015.jpg,,,Turandot,Puccini,2015,Carlo Gozzi’s dramatic fairy-tale,Dramma lirico in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00015,fidelio-moa2014.jpg,,,Fidelio,Beethoven,2014,"Léonore, ou L’amour conjugal",Opera in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00016,pasqualemoa2103.jpg,,,Don Pasquale,Donizetti,2013,,Dramma buffo in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00017,,,,Aida,Verdi,2013,,Opera in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00018,rigoletto-moa2012.jpg,,,Rigoletto,Verdi,2012,after Victor Hugo’s play Le roi s’amuse,Melodramma in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00019,salome-moa-2011.jpg,,,Salome,R. Strauss,2011,German translation of Oscar Wilde’s play,Musikdrama in one act,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00020,tosca-moa-2010.jpg,,,Tosca,Puccini,2010,after Victorien Sardou’s play La Tosca,Melodramma in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00021,carmen-moa-2010.jpg,,,Carmen,Bizet,2010,,Opéra comique in four acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00022,trovatore-moa-2008.jpg,,,Il trovatore,Verdi,2008,The Troubadour,Dramma in four parts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
